global_rank,trial,architecture,strategy,lr,epochs_run,val_threshold,val_accuracy,val_precision,val_recall,val_f1,val_macro_f1,val_minority_recall,val_roc_auc,tuning_name,label_smoothing,pos_weight_scale,focal_alpha_value,focal_gamma
1,8,FTTransformer,Focal Loss,0.0005,38,0.725,0.9297297297297298,0.7154471544715447,0.9565217391304348,0.8186046511627907,0.8875146160841887,0.9565217391304348,0.9576486055028641,FTTransformer_focal_loss,,,0.8335907335907335,1.5
2,4,FTTransformer,Focal Loss,0.0005,49,0.5549999999999999,0.9279279279279279,0.703125,0.9782608695652174,0.8181818181818182,0.8866189989785496,0.9782608695652174,0.9579303220959715,FTTransformer_focal_loss,,,0.65,1.0
3,1,FTTransformer,Weighted BCE,0.0005,38,0.72,0.9279279279279279,0.7063492063492064,0.967391304347826,0.8165137614678899,0.8858353560702679,0.967391304347826,0.9590102357028829,FTTransformer_weighted_bce,,0.5,,
4,5,FTTransformer,Focal Loss,0.0005,38,0.605,0.9279279279279279,0.7063492063492064,0.967391304347826,0.8165137614678899,0.8858353560702679,0.967391304347826,0.958963282937365,FTTransformer_focal_loss,,,0.65,1.5
5,6,FTTransformer,Focal Loss,0.0005,38,0.58,0.9279279279279279,0.7063492063492064,0.967391304347826,0.8165137614678899,0.8858353560702679,0.967391304347826,0.9578833693304536,FTTransformer_focal_loss,,,0.65,2.0
6,3,FTTransformer,Weighted BCE,0.0005,32,0.8549999999999999,0.9279279279279279,0.7063492063492064,0.967391304347826,0.8165137614678899,0.8858353560702679,0.967391304347826,0.9577894637994178,FTTransformer_weighted_bce,,1.0,,
7,7,FTTransformer,Focal Loss,0.0005,35,0.72,0.9279279279279279,0.7063492063492064,0.967391304347826,0.8165137614678899,0.8858353560702679,0.967391304347826,0.9575781763545872,FTTransformer_focal_loss,,,0.8335907335907335,1.0
8,4,FTTransformer,Weighted BCE,0.0005,32,0.8899999999999999,0.9279279279279279,0.7063492063492064,0.967391304347826,0.8165137614678899,0.8858353560702679,0.967391304347826,0.957272983378721,FTTransformer_weighted_bce,,1.25,,
9,9,FTTransformer,Focal Loss,0.0005,31,0.6849999999999999,0.9279279279279279,0.7063492063492064,0.967391304347826,0.8165137614678899,0.8858353560702679,0.967391304347826,0.9557235421166307,FTTransformer_focal_loss,,,0.8335907335907335,2.0
10,4,FTTransformer,BCE,0.001,20,0.625,0.9279279279279279,0.7096774193548387,0.9565217391304348,0.8148148148148148,0.8850360427541635,0.9565217391304348,0.9587754718752934,FTTransformer_learning_rate,,,,
11,2,FTTransformer,Weighted BCE,0.0005,22,0.8549999999999999,0.9279279279279279,0.7131147540983607,0.9456521739130435,0.8130841121495327,0.8842206275033377,0.9456521739130435,0.9568504084890601,FTTransformer_weighted_bce,,0.75,,
12,3,FTTransformer,Focal Loss,0.0005,31,0.5199999999999999,0.9261261261261261,0.704,0.9565217391304348,0.8110599078341014,0.8825736269293687,0.9565217391304348,0.958564184430463,FTTransformer_focal_loss,,,0.5,2.0
13,1,FTTransformer,BCE + Label Smoothing,0.0005,33,0.58,0.9279279279279279,0.7203389830508474,0.9239130434782609,0.8095238095238095,0.8825396825396825,0.9239130434782609,0.9614048267442953,FTTransformer_label_smoothing,0.02,,,
14,3,FTTransformer,BCE,0.0005,26,0.6849999999999999,0.9279279279279279,0.7203389830508474,0.9239130434782609,0.8095238095238095,0.8825396825396825,0.9239130434782609,0.9581181331580431,FTTransformer_learning_rate,,,,
15,2,FTTransformer,BCE,0.0003,24,0.6549999999999999,0.9261261261261261,0.7073170731707317,0.9456521739130435,0.8093023255813954,0.8817461348577368,0.9456521739130435,0.9551601089304159,FTTransformer_learning_rate,,,,
16,2,FTTransformer,Focal Loss,0.0005,23,0.6,0.9279279279279279,0.7241379310344828,0.9130434782608695,0.8076923076923077,0.8816732048439366,0.9130434782608695,0.9561695933890506,FTTransformer_focal_loss,,,0.5,1.5
17,1,FTTransformer,Focal Loss,0.0005,26,0.59,0.9279279279279279,0.7241379310344828,0.9130434782608695,0.8076923076923077,0.8816732048439366,0.9130434782608695,0.9560991642407738,FTTransformer_focal_loss,,,0.5,1.0
18,1,FTTransformer,BCE,0.0001,50,0.39499999999999996,0.9243243243243243,0.6984126984126984,0.9565217391304348,0.8073394495412844,0.8801271238737812,0.9565217391304348,0.9577894637994178,FTTransformer_learning_rate,,,,
19,2,FTTransformer,BCE + Label Smoothing,0.0005,24,0.6399999999999999,0.9243243243243243,0.6984126984126984,0.9565217391304348,0.8073394495412844,0.8801271238737812,0.9565217391304348,0.955559207437318,FTTransformer_label_smoothing,0.05,,,
20,3,FTTransformer,BCE + Label Smoothing,0.0005,24,0.625,0.9243243243243243,0.6984126984126984,0.9565217391304348,0.8073394495412844,0.8801271238737812,0.9565217391304348,0.9555122546718001,FTTransformer_label_smoothing,0.1,,,
21,4,MLP,Weighted BCE,0.001,33,0.825,0.9207207207207208,0.6875,0.9565217391304348,0.8,0.8752808988764045,0.9565217391304348,0.9524133721476195,MLP_weighted_bce,,1.25,,
22,4,MLP,BCE,0.001,28,0.33999999999999997,0.9153153153153153,0.6717557251908397,0.9565217391304348,0.7892376681614349,0.868125034757155,0.9565217391304348,0.9507700253544934,MLP_learning_rate,,,,
23,2,MLP,BCE,0.0003,29,0.58,0.9171171171171171,0.6854838709677419,0.9239130434782609,0.7870370370370371,0.8677914491672881,0.9239130434782609,0.95262465959245,MLP_learning_rate,,,,
24,2,MLP,BCE + Label Smoothing,0.001,20,0.5299999999999999,0.9153153153153153,0.6771653543307087,0.9347826086956522,0.7853881278538812,0.8663192042187475,0.9347826086956522,0.9525072776786553,MLP_label_smoothing,0.05,,,
25,8,MLP,Focal Loss,0.001,33,0.6399999999999999,0.9153153153153153,0.6771653543307087,0.9347826086956522,0.7853881278538812,0.8663192042187475,0.9347826086956522,0.9503474504648324,MLP_focal_loss,,,0.8335907335907335,1.5
26,3,MLP,BCE,0.0005,40,0.3499999999999999,0.9135135135135135,0.6692307692307692,0.9456521739130435,0.7837837837837838,0.8648648648648649,0.9456521739130435,0.9516856042820923,MLP_learning_rate,,,,
27,2,MLP,Weighted BCE,0.001,19,0.7549999999999999,0.9135135135135135,0.6692307692307692,0.9456521739130435,0.7837837837837838,0.8648648648648649,0.9456521739130435,0.9510517419476006,MLP_weighted_bce,,0.75,,
28,7,MLP,Focal Loss,0.001,28,0.6549999999999999,0.9153153153153153,0.68,0.9239130434782609,0.783410138248848,0.8653892796507398,0.9239130434782609,0.9524133721476195,MLP_focal_loss,,,0.8335907335907335,1.0
29,3,MLP,BCE + Label Smoothing,0.001,28,0.36499999999999994,0.9117117117117117,0.6616541353383458,0.9565217391304348,0.7822222222222223,0.8634274952919021,0.9565217391304348,0.9522490374683069,MLP_label_smoothing,0.1,,,
30,1,MLP,Weighted BCE,0.001,37,0.595,0.9117117117117117,0.6616541353383458,0.9565217391304348,0.7822222222222223,0.8634274952919021,0.9565217391304348,0.9506291670579398,MLP_weighted_bce,,0.5,,
31,3,MLP,Weighted BCE,0.001,16,0.8099999999999999,0.9135135135135135,0.6746031746031746,0.9239130434782609,0.7798165137614679,0.8630024272843213,0.9239130434782609,0.9517325570476101,MLP_weighted_bce,,1.0,,
32,1,MLP,BCE + Label Smoothing,0.001,19,0.5399999999999999,0.9135135135135135,0.6746031746031746,0.9239130434782609,0.7798165137614679,0.8630024272843213,0.9239130434782609,0.9503944032303502,MLP_label_smoothing,0.02,,,
33,9,MLP,Focal Loss,0.001,20,0.61,0.9135135135135135,0.6746031746031746,0.9239130434782609,0.7798165137614679,0.8630024272843213,0.9239130434782609,0.9485162926096347,MLP_focal_loss,,,0.8335907335907335,2.0
34,3,MLP,Focal Loss,0.001,37,0.4699999999999999,0.9117117117117117,0.6692913385826772,0.9239130434782609,0.776255707762557,0.8606306597174177,0.9239130434782609,0.9493849187717157,MLP_focal_loss,,,0.5,2.0
35,6,MLP,Focal Loss,0.001,20,0.5499999999999999,0.9135135135135135,0.680327868852459,0.9021739130434783,0.7757009345794392,0.8610647530040053,0.9021739130434783,0.9489623438820547,MLP_focal_loss,,,0.65,2.0
36,5,MLP,Focal Loss,0.001,24,0.48999999999999994,0.9099099099099099,0.6615384615384615,0.9347826086956522,0.7747747747747747,0.8592342342342343,0.9347826086956522,0.9516856042820923,MLP_focal_loss,,,0.65,1.5
37,4,MLP,Focal Loss,0.001,18,0.5599999999999999,0.9117117117117117,0.6776859504132231,0.8913043478260869,0.7699530516431925,0.857663259377895,0.8913043478260869,0.9517795098131281,MLP_focal_loss,,,0.65,1.0
38,1,MLP,BCE,0.0001,35,0.695,0.9117117117117117,0.6776859504132231,0.8913043478260869,0.7699530516431925,0.857663259377895,0.8913043478260869,0.9486101981406705,MLP_learning_rate,,,,
39,1,MLP,Focal Loss,0.001,27,0.42999999999999994,0.9081081081081082,0.6589147286821705,0.9239130434782609,0.7692307692307693,0.8559314701046985,0.9239130434782609,0.9479998121889379,MLP_focal_loss,,,0.5,1.0
