epoch,train_loss,val_loss,val_f1,val_precision,val_recall,val_threshold,candidate
1,0.9597453049251011,0.8794147849082947,0.702928870292887,0.5714285714285714,0.9130434782608695,0.58,MLP|Weighted BCE
2,0.7313278658049447,0.6799434781074524,0.7522935779816514,0.6507936507936508,0.8913043478260869,0.7549999999999999,MLP|Weighted BCE
3,0.6594324537685939,0.6259620189666748,0.75,0.6724137931034483,0.8478260869565217,0.825,MLP|Weighted BCE
4,0.6247725018433162,0.5961392164230347,0.7488584474885844,0.6456692913385826,0.8913043478260869,0.8049999999999999,MLP|Weighted BCE
5,0.5875078297796703,0.5709693670272827,0.7592592592592593,0.6612903225806451,0.8913043478260869,0.8049999999999999,MLP|Weighted BCE
6,0.5761979350021907,0.5751203298568726,0.7579908675799086,0.6535433070866141,0.9021739130434783,0.835,MLP|Weighted BCE
7,0.5682319431077867,0.5490183115005494,0.7567567567567568,0.6461538461538462,0.9130434782608695,0.8049999999999999,MLP|Weighted BCE
8,0.5497242453552428,0.5558102369308472,0.7649769585253456,0.664,0.9021739130434783,0.8549999999999999,MLP|Weighted BCE
9,0.5388918164230528,0.5376641035079956,0.7671232876712328,0.6614173228346457,0.9130434782608695,0.815,MLP|Weighted BCE
10,0.527654774132229,0.5152958989143371,0.7706422018348624,0.6666666666666666,0.9130434782608695,0.7999999999999999,MLP|Weighted BCE
11,0.5162223875522614,0.5085075557231903,0.7685185185185185,0.6693548387096774,0.9021739130434783,0.83,MLP|Weighted BCE
12,0.5058024525642395,0.5028293669223786,0.7649769585253456,0.664,0.9021739130434783,0.82,MLP|Weighted BCE
13,0.5193649672326588,0.4885627865791321,0.7692307692307693,0.6589147286821705,0.9239130434782609,0.7949999999999999,MLP|Weighted BCE
14,0.4995622294289725,0.4839318037033081,0.7714285714285715,0.6864406779661016,0.8804347826086957,0.8599999999999999,MLP|Weighted BCE
15,0.4881262651511601,0.48239548206329347,0.7735849056603774,0.6833333333333333,0.8913043478260869,0.845,MLP|Weighted BCE
16,0.5018020329021272,0.47184638381004335,0.7623318385650224,0.648854961832061,0.9239130434782609,0.7799999999999999,MLP|Weighted BCE
17,0.469316303730011,0.460420697927475,0.7706422018348624,0.6666666666666666,0.9130434782608695,0.8099999999999999,MLP|Weighted BCE
18,0.4711017878282638,0.4568398416042328,0.7636363636363637,0.65625,0.9130434782608695,0.7799999999999999,MLP|Weighted BCE
19,0.44742019403548466,0.46026559472084044,0.7671232876712328,0.6614173228346457,0.9130434782608695,0.8099999999999999,MLP|Weighted BCE
20,0.441184496595746,0.45337003469467163,0.7706422018348624,0.6666666666666666,0.9130434782608695,0.7899999999999999,MLP|Weighted BCE
21,0.43702184728213717,0.4511148750782013,0.7706422018348624,0.6666666666666666,0.9130434782608695,0.8099999999999999,MLP|Weighted BCE
22,0.4498634579635802,0.44699996113777163,0.7706422018348624,0.6666666666666666,0.9130434782608695,0.82,MLP|Weighted BCE
23,0.4573819410233271,0.437889552116394,0.7719298245614035,0.6470588235294118,0.9565217391304348,0.695,MLP|Weighted BCE
24,0.42121380425634836,0.41973883509635923,0.7741935483870968,0.672,0.9130434782608695,0.7949999999999999,MLP|Weighted BCE
25,0.42567086929366704,0.4270903468132019,0.7777777777777778,0.6774193548387096,0.9130434782608695,0.82,MLP|Weighted BCE
26,0.409488985935847,0.4234746158123016,0.7787610619469026,0.6567164179104478,0.9565217391304348,0.6799999999999999,MLP|Weighted BCE
27,0.4228956628413427,0.4161962985992432,0.7793427230046949,0.6859504132231405,0.9021739130434783,0.83,MLP|Weighted BCE
28,0.40858239077386405,0.41315584182739257,0.7870370370370371,0.6854838709677419,0.9239130434782609,0.8049999999999999,MLP|Weighted BCE
29,0.3957464631114687,0.4104117155075073,0.7870370370370371,0.6854838709677419,0.9239130434782609,0.815,MLP|Weighted BCE
30,0.4019405401888348,0.40697547793388367,0.7798165137614679,0.6746031746031746,0.9239130434782609,0.7599999999999999,MLP|Weighted BCE
31,0.4207149147987366,0.4039666414260864,0.7733333333333333,0.6541353383458647,0.9456521739130435,0.635,MLP|Weighted BCE
32,0.4100178565297808,0.40702514052391053,0.7767857142857143,0.6590909090909091,0.9456521739130435,0.74,MLP|Weighted BCE
33,0.400585827373323,0.4011809825897217,0.7777777777777778,0.6774193548387096,0.9130434782608695,0.7899999999999999,MLP|Weighted BCE
34,0.3669189470154898,0.3992471218109131,0.7777777777777778,0.6774193548387096,0.9130434782608695,0.8099999999999999,MLP|Weighted BCE
35,0.3861979962814422,0.396536773443222,0.7782805429864253,0.6666666666666666,0.9347826086956522,0.725,MLP|Weighted BCE
36,0.38194481815610615,0.39646520018577575,0.7692307692307693,0.6589147286821705,0.9239130434782609,0.74,MLP|Weighted BCE
37,0.36260636363710674,0.38913155198097227,0.7767857142857143,0.6590909090909091,0.9456521739130435,0.705,MLP|Weighted BCE
38,0.3590551352217084,0.3943377256393433,0.7802690582959642,0.6641221374045801,0.9456521739130435,0.7599999999999999,MLP|Weighted BCE
39,0.36554820622716633,0.3942682921886444,0.7733333333333333,0.6541353383458647,0.9456521739130435,0.69,MLP|Weighted BCE
40,0.36581047375996906,0.3900252401828766,0.7830188679245284,0.6916666666666667,0.9021739130434783,0.8599999999999999,MLP|Weighted BCE
41,0.3686396571851912,0.3824099123477936,0.7830188679245284,0.6916666666666667,0.9021739130434783,0.82,MLP|Weighted BCE
42,0.3653079640297663,0.3868121922016144,0.7685185185185185,0.6693548387096774,0.9021739130434783,0.7999999999999999,MLP|Weighted BCE
43,0.3740710076831636,0.3852775156497955,0.7853881278538812,0.6771653543307087,0.9347826086956522,0.7999999999999999,MLP|Weighted BCE
44,0.3563559991972787,0.39220291972160337,0.7678571428571429,0.6515151515151515,0.9347826086956522,0.62,MLP|Weighted BCE
45,0.36512804811909083,0.38969712853431704,0.7705627705627706,0.6402877697841727,0.967391304347826,0.61,MLP|Weighted BCE
46,0.35822299903347377,0.3823228120803833,0.7659574468085106,0.6293706293706294,0.9782608695652174,0.48499999999999993,MLP|Weighted BCE
47,0.35240229964256287,0.3801256835460663,0.7713004484304933,0.6564885496183206,0.9347826086956522,0.69,MLP|Weighted BCE
48,0.34089145348185584,0.3864066362380981,0.7767857142857143,0.6590909090909091,0.9456521739130435,0.695,MLP|Weighted BCE
1,0.09100382207405,0.07681905925273895,0.6844444444444444,0.5789473684210527,0.8369565217391305,0.5399999999999999,MLP|Focal Loss
2,0.07403868117502757,0.06892451047897338,0.7297297297297297,0.6230769230769231,0.8804347826086957,0.59,MLP|Focal Loss
3,0.06885479656713349,0.06517421826720238,0.7304347826086957,0.6086956521739131,0.9130434782608695,0.5599999999999999,MLP|Focal Loss
4,0.0650765122402282,0.0618251234292984,0.7397260273972602,0.6377952755905512,0.8804347826086957,0.58,MLP|Focal Loss
5,0.06067790623222079,0.059002510458230975,0.7557603686635944,0.656,0.8913043478260869,0.575,MLP|Focal Loss
6,0.05900486789288975,0.06090169250965118,0.7570093457943925,0.6639344262295082,0.8804347826086957,0.605,MLP|Focal Loss
7,0.05763687778796468,0.05527559444308281,0.7655502392344498,0.6837606837606838,0.8695652173913043,0.59,MLP|Focal Loss
8,0.05610742739268711,0.05565371215343475,0.7699530516431925,0.6776859504132231,0.8913043478260869,0.59,MLP|Focal Loss
9,0.0546700455957935,0.05272501781582832,0.7685185185185185,0.6693548387096774,0.9021739130434783,0.565,MLP|Focal Loss
10,0.05173420107790402,0.05029904767870903,0.7524752475247525,0.6909090909090909,0.8260869565217391,0.6,MLP|Focal Loss
11,0.0514548404940537,0.05005609393119812,0.7489361702127659,0.6153846153846154,0.9565217391304348,0.48999999999999994,MLP|Focal Loss
12,0.050300023562851404,0.0479870118200779,0.7601809954751131,0.6511627906976745,0.9130434782608695,0.5349999999999999,MLP|Focal Loss
13,0.04962953233293125,0.04672026559710503,0.7534883720930232,0.6585365853658537,0.8804347826086957,0.5599999999999999,MLP|Focal Loss
14,0.04821782772030149,0.045671234279870986,0.7706422018348624,0.6666666666666666,0.9130434782608695,0.5499999999999999,MLP|Focal Loss
15,0.047318629743087856,0.04462277367711067,0.7747747747747747,0.6615384615384615,0.9347826086956522,0.5299999999999999,MLP|Focal Loss
16,0.04810935702352297,0.043308746069669724,0.7692307692307693,0.6589147286821705,0.9239130434782609,0.5299999999999999,MLP|Focal Loss
17,0.04461154111084484,0.04130788370966911,0.7747747747747747,0.6615384615384615,0.9347826086956522,0.5199999999999999,MLP|Focal Loss
18,0.04545169518817039,0.04100421518087387,0.7757009345794392,0.680327868852459,0.9021739130434783,0.5499999999999999,MLP|Focal Loss
19,0.04269881706152644,0.040764589607715604,0.7671232876712328,0.6614173228346457,0.9130434782608695,0.5299999999999999,MLP|Focal Loss
20,0.042177949455522355,0.0400894932448864,0.7706422018348624,0.6666666666666666,0.9130434782608695,0.5349999999999999,MLP|Focal Loss
21,0.04173513874411583,0.04014948904514313,0.7706422018348624,0.6666666666666666,0.9130434782608695,0.5299999999999999,MLP|Focal Loss
22,0.04189676188287281,0.03915388435125351,0.7727272727272727,0.6640625,0.9239130434782609,0.5149999999999999,MLP|Focal Loss
23,0.04339386788862092,0.038081967085599897,0.7692307692307693,0.6589147286821705,0.9239130434782609,0.5249999999999999,MLP|Focal Loss
24,0.03910412994169053,0.03714234828948974,0.7713004484304933,0.6564885496183206,0.9347826086956522,0.49499999999999994,MLP|Focal Loss
25,0.039446732650200524,0.037749887257814405,0.7733333333333333,0.6541353383458647,0.9456521739130435,0.49499999999999994,MLP|Focal Loss
26,0.038586560814153584,0.037006793171167375,0.7692307692307693,0.6589147286821705,0.9239130434782609,0.5049999999999999,MLP|Focal Loss
27,0.040352649188467433,0.03612075373530388,0.7692307692307693,0.6338028169014085,0.9782608695652174,0.44499999999999995,MLP|Focal Loss
28,0.03799886416111674,0.03619732707738876,0.7739130434782608,0.644927536231884,0.967391304347826,0.48499999999999993,MLP|Focal Loss
29,0.03698635287582874,0.03656934350728989,0.7699115044247787,0.6492537313432836,0.9456521739130435,0.48499999999999993,MLP|Focal Loss
30,0.037730696832849867,0.035784465819597246,0.7787610619469026,0.6567164179104478,0.9565217391304348,0.4749999999999999,MLP|Focal Loss
31,0.039490464897382824,0.03491883873939514,0.7787610619469026,0.6567164179104478,0.9565217391304348,0.4649999999999999,MLP|Focal Loss
32,0.03786833708484968,0.0353433646261692,0.7719298245614035,0.6470588235294118,0.9565217391304348,0.48499999999999993,MLP|Focal Loss
33,0.0367009433075076,0.034930872917175296,0.7727272727272727,0.6640625,0.9239130434782609,0.5049999999999999,MLP|Focal Loss
34,0.03488720332582792,0.03518865555524826,0.775330396475771,0.6518518518518519,0.9565217391304348,0.4799999999999999,MLP|Focal Loss
35,0.035755506406227745,0.034953448176383975,0.7767857142857143,0.6590909090909091,0.9456521739130435,0.48999999999999994,MLP|Focal Loss
36,0.03494785078579471,0.03416276201605797,0.7672413793103449,0.6357142857142857,0.967391304347826,0.42499999999999993,MLP|Focal Loss
37,0.03410785512200424,0.03451228179037571,0.777292576419214,0.6496350364963503,0.967391304347826,0.4599999999999999,MLP|Focal Loss
38,0.03346456427659307,0.03453635424375534,0.7705627705627706,0.6402877697841727,0.967391304347826,0.4549999999999999,MLP|Focal Loss
39,0.034120925569108555,0.03464778065681458,0.7678571428571429,0.6515151515151515,0.9347826086956522,0.5049999999999999,MLP|Focal Loss
40,0.03412494675389358,0.034107739478349684,0.7787610619469026,0.6567164179104478,0.9565217391304348,0.48499999999999993,MLP|Focal Loss
41,0.034096148752030875,0.033344925940036775,0.7787610619469026,0.6567164179104478,0.9565217391304348,0.4749999999999999,MLP|Focal Loss
42,0.03365616118978886,0.03397463411092758,0.7665198237885462,0.6444444444444445,0.9456521739130435,0.4599999999999999,MLP|Focal Loss
43,0.03434002142222155,0.033604522421956065,0.7699530516431925,0.6776859504132231,0.8913043478260869,0.5399999999999999,MLP|Focal Loss
44,0.033325781336142904,0.03394888937473297,0.7706422018348624,0.6666666666666666,0.9130434782608695,0.48999999999999994,MLP|Focal Loss
45,0.03418214317588579,0.03356580585241318,0.7719298245614035,0.6470588235294118,0.9565217391304348,0.4499999999999999,MLP|Focal Loss
46,0.033563328286012016,0.03322147242724895,0.7699115044247787,0.6492537313432836,0.9456521739130435,0.4699999999999999,MLP|Focal Loss
47,0.03194999597257092,0.033683149889111516,0.7685185185185185,0.6693548387096774,0.9021739130434783,0.5349999999999999,MLP|Focal Loss
48,0.03237610363534519,0.03396876901388168,0.776255707762557,0.6692913385826772,0.9239130434782609,0.5049999999999999,MLP|Focal Loss
49,0.031545338176545645,0.033649880439043045,0.7818181818181819,0.671875,0.9347826086956522,0.5049999999999999,MLP|Focal Loss
50,0.033847885649828685,0.03344424404203892,0.7807017543859649,0.6544117647058824,0.967391304347826,0.4799999999999999,MLP|Focal Loss
51,0.03115751008902277,0.0335981760174036,0.776255707762557,0.6692913385826772,0.9239130434782609,0.5199999999999999,MLP|Focal Loss
52,0.03251111480806555,0.03298065699636936,0.7685185185185185,0.6693548387096774,0.9021739130434783,0.49999999999999994,MLP|Focal Loss
53,0.03320738903823353,0.03281220607459545,0.7733333333333333,0.6541353383458647,0.9456521739130435,0.5099999999999999,MLP|Focal Loss
54,0.031798831054142544,0.03293396569788456,0.7636363636363637,0.65625,0.9130434782608695,0.5199999999999999,MLP|Focal Loss
55,0.03137924837037211,0.0325158916413784,0.7713004484304933,0.6564885496183206,0.9347826086956522,0.4699999999999999,MLP|Focal Loss
56,0.03203888468089558,0.03293281681835651,0.7818181818181819,0.671875,0.9347826086956522,0.5049999999999999,MLP|Focal Loss
57,0.030943942211923144,0.03284432776272297,0.7782805429864253,0.6666666666666666,0.9347826086956522,0.4749999999999999,MLP|Focal Loss
58,0.030296755200695424,0.03239196315407753,0.7767857142857143,0.6590909090909091,0.9456521739130435,0.4499999999999999,MLP|Focal Loss
59,0.03150868078782445,0.032387730106711386,0.7782805429864253,0.6666666666666666,0.9347826086956522,0.49999999999999994,MLP|Focal Loss
60,0.030332259922510103,0.03225615695118904,0.7741935483870968,0.672,0.9130434782608695,0.49499999999999994,MLP|Focal Loss
61,0.03095463565772488,0.03237820751965046,0.7767857142857143,0.6590909090909091,0.9456521739130435,0.4549999999999999,MLP|Focal Loss
62,0.029817817377902213,0.032033029943704605,0.7782805429864253,0.6666666666666666,0.9347826086956522,0.48499999999999993,MLP|Focal Loss
63,0.03054094864499001,0.03264012597501278,0.7853881278538812,0.6771653543307087,0.9347826086956522,0.5299999999999999,MLP|Focal Loss
64,0.03064283187545481,0.03260811343789101,0.7727272727272727,0.6640625,0.9239130434782609,0.48999999999999994,MLP|Focal Loss
65,0.030037765790309225,0.031767741218209265,0.7706422018348624,0.6666666666666666,0.9130434782608695,0.49999999999999994,MLP|Focal Loss
66,0.028613633520546414,0.03214190192520618,0.772093023255814,0.6747967479674797,0.9021739130434783,0.5349999999999999,MLP|Focal Loss
67,0.028023058193780127,0.032668362557888034,0.7741935483870968,0.672,0.9130434782608695,0.49499999999999994,MLP|Focal Loss
68,0.029403063424286387,0.03266468793153763,0.7767857142857143,0.6590909090909091,0.9456521739130435,0.4599999999999999,MLP|Focal Loss
69,0.0289290678643045,0.032771392911672595,0.7747747747747747,0.6615384615384615,0.9347826086956522,0.4749999999999999,MLP|Focal Loss
70,0.028086980361314046,0.0329927921295166,0.776255707762557,0.6692913385826772,0.9239130434782609,0.48499999999999993,MLP|Focal Loss
71,0.028301063126751354,0.03276415765285492,0.776255707762557,0.6692913385826772,0.9239130434782609,0.5099999999999999,MLP|Focal Loss
72,0.028569467188346954,0.032566321268677714,0.7767857142857143,0.6590909090909091,0.9456521739130435,0.4699999999999999,MLP|Focal Loss
73,0.029136835287014645,0.03258091695606709,0.7782805429864253,0.6666666666666666,0.9347826086956522,0.49499999999999994,MLP|Focal Loss
74,0.0288689878902265,0.03203578777611256,0.7733333333333333,0.6541353383458647,0.9456521739130435,0.4749999999999999,MLP|Focal Loss
