model,imbalance_method,candidate_key,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_macro_f1_mean,cv_macro_f1_std,cv_minority_recall_mean,cv_minority_recall_std
RandomForest,SMOTE,RandomForest|SMOTE,0.9158301158301159,0.009504659169954608,0.7009899785748842,0.030642521391778428,0.8654905105586742,0.01834727664955618,0.7742098927306412,0.021418302734595655,0.8612383603060904,0.013716642188389278,0.8654905105586742,0.01834727664955618
XGBoost,Class Weight,XGBoost|Class Weight,0.9119691119691119,0.00707733698062681,0.6930703131455012,0.026074598493395437,0.849184709970596,0.016459023913264887,0.7627575746852564,0.014075314102384554,0.8543522972042631,0.009279776137909028,0.849184709970596,0.016459023913264887
XGBoost,SMOTE,XGBoost|SMOTE,0.9069498069498071,0.01265325838469032,0.6915829302228469,0.03735324495270227,0.798075380914194,0.04096304426756222,0.7405951107533344,0.03464550784014932,0.8419460802198424,0.02112904965174621,0.798075380914194,0.04096304426756222
RandomForest,Baseline,RandomForest|Baseline,0.9077220077220078,0.012355212355212369,0.7002541392778552,0.03416060952635373,0.7796311146752204,0.03859382516168733,0.737665957052525,0.034747599223880155,0.8408390141195877,0.021114856926555077,0.7796311146752204,0.03859382516168733
XGBoost,Baseline,XGBoost|Baseline,0.9042471042471043,0.009346500723482766,0.7006102212051869,0.029199915359224067,0.7424752739909115,0.024629720692158574,0.720837910602791,0.025917144810467335,0.8315247126476077,0.01579517238610936,0.7424752739909115,0.024629720692158574
RandomForest,Class Weight,RandomForest|Class Weight,0.901930501930502,0.011672754021491075,0.690812231247014,0.03007058191777685,0.7425020048115477,0.04647317493512305,0.7155332731653598,0.03628107545183437,0.828141446423623,0.021601642023833918,0.7425020048115477,0.04647317493512305
DecisionTree,Baseline,DecisionTree|Baseline,0.894980694980695,0.007969022177818629,0.6876659713239915,0.025824890776748138,0.6775728414862336,0.03626009955438826,0.6820471993412853,0.02486046776994903,0.8095702132187004,0.014678297021165517,0.6775728414862336,0.03626009955438826
DecisionTree,SMOTE,DecisionTree|SMOTE,0.8880308880308881,0.0027301420123032666,0.6628895079012078,0.015867973105593534,0.6682437850842021,0.02101379160941446,0.665078006872317,0.004607847795605974,0.7989227557290979,0.002533012577325682,0.6682437850842021,0.02101379160941446
DecisionTree,Class Weight,DecisionTree|Class Weight,0.8864864864864865,0.00858150995015167,0.6756160669395964,0.03148949890083145,0.6148088746324512,0.046450829321891034,0.6425690133284969,0.031549277056007505,0.7875341090284737,0.01787450093834112,0.6148088746324512,0.046450829321891034
