model,task,tuned,mae,rmse,r2,mae_std,rmse_std,r2_std
Dummy (mean),regression,False,2.5191024305555554,2.9044109673963936,-0.00642611306064853,0.09458087667871368,0.08295988066353971,0.006487998653495872
Stacking (LGBM+Cat+XGB),regression,True,2.5161281724510167,2.9090141759254227,-0.009565724655400353,0.096943945505244,0.08693556399112824,0.008373471039863339
Random Forest,regression,False,2.568433441972261,2.985227231623897,-0.06345176587530918,0.08963272548836262,0.09250919564636491,0.030846279400476503
CatBoost,regression,False,2.636880949782298,3.08989758047465,-0.14011770762718187,0.07285782728135494,0.06374761485592702,0.044453548616976694
XGBoost,regression,False,2.670359540383021,3.16913425892037,-0.1994202949178212,0.07466961172269149,0.08283442376376648,0.05552891338266778
LightGBM (tuned),regression,True,2.7199008017801516,3.2230285053084335,-0.24004570775452422,0.09056339439166912,0.08366963214160492,0.041492612524590335
