feature,mean_abs_shap
academic_performance,0.4015943925775658
sm_sleep_ratio,0.3987776022914081
screen_sleep_ratio,0.3948849081302867
daily_social_media_hours,0.34907248820386666
sleep_hours,0.3360494133834933
physical_activity,0.32344790041288574
age,0.2924209558080865
screen_time_before_sleep,0.25185353292291607
plat_TikTok,0.12275642187662501
social_low,0.09073841739598996
gender,0.08852196289358759
social_med,0.07283042121381991
plat_Instagram,0.052234029588129276
plat_Both,0.028314162119667554
low_sleep,0.010270801272069429
heavy_sm_user,0.0
