model,family,mae,mae_std,rmse,rmse_std,r2,r2_std,within_1,within_1_std,within_2,within_2_std,tier_accuracy,tier_accuracy_std,tier_f1_macro,tier_f1_macro_std
Dummy (mean),ML,2.4975,0.048491121753253895,2.9358426152839057,0.04076115327477831,-0.023818716507568238,0.004733643121125142,0.31833333333333336,0.011666666666666681,0.5033333333333333,0.007168604389202181,0.4066666666666666,0.002041241452319308,0.19273201879912677,0.0006881434847072231
Random Forest,ML,2.5366666666666666,0.0499583159577396,2.978607802517909,0.03505555751613625,-0.054173724763485295,0.02338791922579357,0.315,0.020682789409984765,0.48249999999999993,0.016115899671511412,0.40499999999999997,0.0016666666666666607,0.19239859154262257,0.0005153820385798654
HistGradientBoosting,ML,2.735833333333333,0.06554260700745226,3.2392219189032567,0.0572249371343925,-0.24646104656360546,0.02651102276406872,0.2791666666666667,0.0320589734361189,0.485,0.015046225071056471,0.375,0.03151278400198173,0.2561762872087148,0.02864940701773342
MLP (Deep Learning),DL,2.5358333333333336,0.051478150704934986,2.980229794581184,0.0489595563425538,-0.05517191697375714,0.023162332092264825,0.3025,0.013070322617798445,0.5041666666666667,0.017480147469502532,0.4083333333333333,0.0037267799624996364,0.1982250089469761,0.007641376583867947
XGBoost,ML,2.6533333333333333,0.06299250396321411,3.139122247973265,0.07688635951374037,-0.17052145492885104,0.03435315456995778,0.2891666666666667,0.0189296944860009,0.49000000000000005,0.015500896031448582,0.39499999999999996,0.009279607271383364,0.24676309469946683,0.0167740046966348
