view,display_name,method,k,train_silhouette,val_silhouette,test_silhouette,k_reason,selection_reason
usage_intensity,Usage Intensity,PCA2+KMeans,3,0.3637552053023837,0.37290655980855036,0.3748270335898865,"Usage intensity has three interpretable levels: light/rested, moderate, and heavy/risky use.",fixed k from data interpretation; method selected by validation silhouette
lifestyle_health,Lifestyle Health,PCA2+KMeans,2,0.3879317571379777,0.3925377951322005,0.38073755279898636,Lifestyle separates most clearly into healthy vs risk profiles in this dataset.,fixed k from data interpretation; method selected by validation silhouette
social_behavior,Social Behavior,PCA2+KMeans,3,0.3995616299877799,0.3861236032028103,0.39788653502926463,"Social behavior naturally maps to isolated, moderate, and active groups.",fixed k from data interpretation; method selected by validation silhouette
stress_pattern,Stress Pattern,PCA2+KMeans,2,0.40700226688717844,0.4040529702827236,0.40787009803862573,Stress/anxiety split is strongest and clearest as low vs high stress.,fixed k from data interpretation; method selected by validation silhouette
